source,headline,keyword1,keyword2,keyword3,pub_date,news_desk,section_name,type_of_material,word_count,month,year,cluster,pub_year
NYT,"To Save Its Honey Industry, Australia Is Killing Bees by the Millions",others,others,Australia,2022-06-30,Foreign,World,News,588,6,2022,4_Various,2021/2022
NYT,The Anglican Church’s ‘Kick in the Guts’ to Gay Parishioners,others,others,others,2022-09-01,Foreign,World,News,1178,9,2022,4_Various,2021/2022
NYT,‘Wearing a Piece of History’: Vintage Clothing Stores Find a Growing Market,Australia,others,others,2022-07-01,Foreign,World,News,1230,7,2022,4_Various,2021/2022
NYT,The Long Tail of Covid-19 Disinformation,Covid,others,Politics and Government,2022-08-26,Foreign,World,News,900,8,2022,4_Various,2021/2022
NYT,Judge Orders a Delay in Australia’s Parliament House Rape Trial,others,Australia,others,2022-06-21,Foreign,World,News,571,6,2022,4_Various,2021/2022
NYT,Could New Zealand Change Its Name?,others,others,others,2022-08-19,Foreign,World,News,913,8,2022,3_Oceania&Culture,2021/2022
NYT,Remains of 2 Children Are Found in Suitcases Bought at New Zealand Auction,others,others,others,2022-08-18,Express,World,News,355,8,2022,3_Oceania&Culture,2021/2022
NYT,Murder in the Brain-Broiling Heat and Red Dust of the Outback,Culture,others,others,2022-07-21,BookReview,Books,News,1293,7,2022,4_Various,2021/2022
NYT,"Marshall Islands, Once Nearly Covid-Free, Confront an Outbreak",Covid,others,others,2022-08-16,Express,World,News,737,8,2022,4_Various,2021/2022
NYT,Does Keeping Jurors Unbiased Mean Keeping Everyone Else Quiet?,Australia,others,None,2022-06-24,Foreign,World,News,1179,6,2022,4_Various,2021/2022
NYT,The ‘Hard Yakka’ of Defining Australian English’s Many Quirks,others,others,others,2022-06-19,Foreign,World,News,1264,6,2022,4_Various,2021/2022
NYT,"Judith Durham, Singer of ‘Georgy Girl’ and Other Hits, Dies at 79",others,others,others,2022-08-09,Obits,Arts,Obit,864,8,2022,4_Various,2021/2022
NYT,‘Anonymous Club’ Review: The Joy of Creation,others,others,others,2022-07-14,Weekend,Movies,Review,316,7,2022,4_Various,2021/2022
NYT,Nick Kyrgios to Appear in Court on Assault Allegation in Australia,Tennis,Tennis,others,2022-07-05,Sports,Sports,News,739,7,2022,4_Various,2021/2022
NYT,"A U.S. Return to Guadalcanal, in Another Tense Historical Moment",others,US politics and relations,China,2022-08-07,Foreign,World,News,1362,8,2022,4_Various,2021/2022
NYT,U.S. Seeks to Reassure Asian Allies as China’s Military Grows Bolder,US politics and relations,others,others,2022-08-05,Foreign,World,News,1346,8,2022,4_Various,2021/2022
NYT,How a Globetrotting Family Learned to Love Soccer and the ‘Grey Wiggle’,others,others,others,2022-06-17,Foreign,World,News,1111,6,2022,4_Various,2021/2022
NYT,Australia’s new prime minister promises increased aid during visit to Ukraine.,others,others,Australia,2022-07-03,Foreign,World,News,217,7,2022,3_Oceania&Culture,2021/2022
NYT,Rugby’s Greatest Team Confronts a Worrisome Prospect: Decline,others,others,others,2022-08-02,Sports,Sports,News,1124,8,2022,4_Various,2021/2022
NYT,Australia’s Baby Steps Toward Severing Ties With the Queen,others,others,others,2022-06-08,Foreign,World,News,909,6,2022,4_Various,2021/2022
NYT,Will shifts in Australia and New Zealand lead to a ‘divorce’ from the monarchy?,Politics and Government,Australia,others,2022-06-03,Foreign,World,News,540,6,2022,3_Oceania&Culture,2021/2022
NYT,"Nick Kyrgios, a Dream and a Nightmare for Wimbledon, Is Winning",Tennis,others,others,2022-07-03,Sports,Sports,News,1372,7,2022,4_Various,2021/2022
NYT,When Cockatoos Become Cocka-Too Much,others,others,others,2022-06-10,Foreign,World,News,922,6,2022,4_Various,2021/2022
NYT,"After Years of Acrimony, China and Australia Cautiously Reach Out",US politics and relations,Politics and Government,others,2022-06-24,Foreign,World,News,1197,6,2022,4_Various,2021/2022
NYT,"Amid Sri Lanka’s Crisis, Cricket Carries On",others,others,others,2022-07-23,Express,World,News,1062,7,2022,4_Various,2021/2022
NYT,The World’s Largest Plant Is a Self-Cloning Sea Grass in Australia,others,others,others,2022-05-31,Science,Science,News,702,5,2022,4_Various,2021/2022
NYT,Your Friday Briefing: A Major U.S. Climate Ruling,US politics and relations,others,Politics and Government,2022-06-30,Dining,Briefing,Briefing,1203,6,2022,5_FridayBriefing,2021/2022
NYT,"‘What Was the Point?’: Freed After 9 Years, Refugees Learn to Live Again",Australia,others,others,2022-06-02,Foreign,World,News,1633,6,2022,4_Various,2021/2022
NYT,Australia Wields a New DNA Tool to Crack Missing-Person Mysteries,Australia,others,others,2022-05-28,Foreign,World,News,1089,5,2022,3_Oceania&Culture,2021/2022
NYT,Can You Blame Poor Countries Like Mine for Turning to China?,others,US politics and relations,Global Warming,2022-06-27,OpEd,Opinion,OpEd,980,6,2022,4_Various,2021/2022
NYT,When Freedom Is Only the Beginning,Australia,others,None,2022-06-03,Foreign,World,News,972,6,2022,4_Various,2021/2022
NYT,This Wimbledon Champion Never Had a Tennis Lesson,Tennis,Tennis,Tennis,2022-06-23,others,New York,News,1128,6,2022,4_Various,2021/2022
NYT,A Guide to Australia’s Election,Politics and Government,others,others,2022-05-20,Foreign,World,News,557,5,2022,4_Various,2021/2022
NYT,Australia’s ‘Climate Election’ Finally Arrived. Will It Be Enough?,Australia,others,Global Warming,2022-05-22,Foreign,World,others,1163,5,2022,4_Various,2021/2022
NYT,"In Australia, skipping the polls comes with a fine.",Politics and Government,others,Australia,2022-05-21,Foreign,World,News,416,5,2022,4_Various,2021/2022
NYT,Australia’s New Leader Faces Peril of Winning as ‘Not the Other Guy’,Politics and Government,others,Australia,2022-05-21,Foreign,World,News,1276,5,2022,3_Oceania&Culture,2021/2022
NYT,Australia’s Election: What to Watch and What’s at Stake,Politics and Government,others,others,2022-05-20,Foreign,World,News,1371,5,2022,4_Various,2021/2022
NYT,How a Group of Female Independents Aims to Revive Australian Democracy,others,others,others,2022-05-19,Foreign,World,News,1545,5,2022,4_Various,2021/2022
NYT,Installing Rooftop Solar Can Be a Breeze. Just Look at Australia.,others,others,Global Warming,2022-06-08,OpEd,Opinion,OpEd,989,6,2022,4_Various,2021/2022
NYT,Why You’re Hearing More About the Pacific Islands,US politics and relations,Politics and Government,others,2022-05-27,Foreign,World,News,957,5,2022,4_Various,2021/2022
NYT,An American Moment in an Australian Campaign,Australia,Politics and Government,others,2022-05-14,Foreign,World,News,903,5,2022,4_Various,2021/2022
NYT,How the Long Recovery From Bush Fires Could Decide Australia’s Election,Australia,others,others,2022-05-16,Foreign,World,News,1313,5,2022,4_Various,2021/2022
NYT,How Australia Saved Thousands of Lives While Covid Killed a Million Americans,Covid,Australia,others,2022-05-15,Foreign,World,News,2505,5,2022,4_Various,2021/2022
NYT,What It Took for a Country With a Strong Gun Culture to Give Them Up,others,others,others,2022-06-13,OpEd,Opinion,OpEd,1353,6,2022,4_Various,2021/2022
NYT,New Zealand Designates Proud Boys a Terrorist Group,others,others,others,2022-07-01,Express,World,News,513,7,2022,3_Oceania&Culture,2021/2022
NYT,The Deeper Meaning of Elvis in Australia,others,others,others,2022-05-06,Foreign,World,News,805,5,2022,4_Various,2021/2022
NYT,"Democracy, with a side of grilled onions.",Australia,others,others,2022-05-21,Foreign,World,News,360,5,2022,4_Various,2021/2022
NYT,Prime Minister Scott Morrison is urging voters to opt for what they know.,Politics and Government,others,Australia,2022-05-21,Foreign,World,News,633,5,2022,4_Various,2021/2022
NYT,"Anthony Albanese, the challenger, pitches ‘safe change.’",Politics and Government,others,Australia,2022-05-21,Foreign,World,News,494,5,2022,4_Various,2021/2022
NYT,Australian Paper Deletes Rebel Wilson Column but Denies Outing Her,others,others,others,2022-06-13,Express,Style,News,886,6,2022,4_Various,2021/2022
NYT,Chinese Pilots Sent a Message. American Allies Said They Went Too Far.,China,others,others,2022-06-09,Foreign,World,News,1140,6,2022,4_Various,2021/2022
NYT,Your Thursday Briefing: Russia’s Land Bridge,others,Australia,others,2022-06-08,NYTNow,Briefing,Briefing,1200,6,2022,6_otherBriefings,2021/2022
NYT,Your Monday Briefing: Australia’s New Leader,Australia,others,others,2022-05-22,NYTNow,Briefing,Briefing,1206,5,2022,6_otherBriefings,2021/2022
NYT,Australian Gets 12 Years for Anti-Gay Killing of an American in 1988,others,others,others,2022-05-03,Foreign,World,News,424,5,2022,4_Various,2021/2022
NYT,How the King of Rock ’n’ Roll Still Makes Australia Sing,others,Australia,others,2022-05-06,Foreign,World,News,1169,5,2022,4_Various,2021/2022
NYT,Australia’s Prime Minister Ignored the Climate. Voters Could Make Him Pay.,Global Warming,others,others,2022-05-19,OpEd,Opinion,OpEd,1006,5,2022,4_Various,2021/2022
NYT,Why Is the World’s Best Swimmer Not Swimming at the Worlds?,others,others,others,2022-06-17,Sports,Sports,News,1239,6,2022,4_Various,2021/2022
NYT,There’s an election in Australia. Here’s how climate fits in.,Australia,others,others,2022-05-13,Climate,Climate,News,1377,5,2022,4_Various,2021/2022
NYT,Australia decides whether to extend conservatives’ reign.,None,None,None,2022-05-21,Foreign,World,News,109,5,2022,4_Various,2021/2022
NYT,Other Countries Had Mass Shootings. Then They Changed Their Gun Laws.,others,others,Australia,2022-05-25,Foreign,World,News,1314,5,2022,4_Various,2021/2022
NYT,Biden’s Words on Taiwan Leave Allies in an Awkward Spot,others,US politics and relations,Australia,2022-05-24,Foreign,World,News,1198,5,2022,4_Various,2021/2022
NYT,Russia and China Held Military Exercise in East Asia as Biden Visited,Australia,China,others,2022-05-24,Washington,U.S.,News,1352,5,2022,4_Various,2021/2022
NYT,"A Saga Between Tries, Novak Djokovic Again Aims for His 21st Slam",Tennis,Tennis,Tennis,2022-05-23,Sports,Sports,News,1143,5,2022,4_Various,2021/2022
NYT,Biden Arrives in Tokyo Seeking to Shore Up Support for Economic Plan,US politics and relations,others,others,2022-05-22,Foreign,U.S.,News,796,5,2022,4_Various,2021/2022
NYT,New Zealand’s Biodiversity Crisis Prompts Extreme Measures,others,others,others,2022-06-05,Foreign,World,News,1009,6,2022,3_Oceania&Culture,2021/2022
InternationalNYT,How Do You Solve a Problem Like a Tied Set?,Tennis,Tennis,others,2022-05-20,SpecialSections,Sports,News,1138,5,2022,4_Various,2021/2022
NYT,Biden Begins Trip to Asia Meant to Reassure Allies of Focus on China,US politics and relations,others,others,2022-05-19,Washington,U.S.,News,1296,5,2022,4_Various,2021/2022
NYT,"Bill Walker, Nashville Force as Conductor and Arranger, Dies at 95",others,others,others,2022-06-03,Obits,Arts,Obit,893,6,2022,4_Various,2021/2022
NYT,Can Ancient Maori Knowledge Aid Science? Ask These Freshwater Crayfish.,others,others,others,2022-06-01,Foreign,World,News,1246,6,2022,4_Various,2021/2022
NYT,Your Tuesday Briefing: Russia’s Faltering Campaign,Australia,others,China,2022-05-16,NYTNow,Briefing,Briefing,1237,5,2022,6_otherBriefings,2021/2022
NYT,Why China Is Miles Ahead in a Pacific Race for Influence,others,US politics and relations,others,2022-05-31,Foreign,World,News,1540,5,2022,4_Various,2021/2022
NYT,China Seeks Sweeping Regional Deal With Pacific Island Countries,others,China,others,2022-05-25,Foreign,World,News,1002,5,2022,4_Various,2021/2022
NYT,"A lead for the Labor opposition, but it’s unclear whether it will reach an outright majority.",None,None,None,2022-05-21,Foreign,World,News,288,5,2022,4_Various,2021/2022
NYT,"Meet Mouth Almighty, a Different Kind of Fish Dad",others,others,others,2022-05-03,Science,Science,News,758,5,2022,4_Various,2021/2022
NYT,Your Wednesday Briefing: The End of Roe?,Australia,others,others,2022-05-03,NYTNow,Briefing,Briefing,1237,5,2022,2_WednesdayBriefing,2021/2022
NYT,An Enchanting Resort in Australia’s Southern Highlands,Travel and Vacations,others,others,2022-06-16,TStyle,T Magazine,News,1095,6,2022,4_Various,2021/2022
NYT,U.S. Picked as Host of Rugby World Cup,others,others,None,2022-05-12,Sports,Sports,News,573,5,2022,4_Various,2021/2022
NYT,New Zealand will fully reopen its borders at the end of July.,others,others,others,2022-05-11,Foreign,World,News,279,5,2022,3_Oceania&Culture,2021/2022
NYT,Australian News Site Tells Lachlan Murdoch: Sue Us Already,Culture,others,others,2022-08-22,Business,Business Day,News,549,8,2022,4_Various,2021/2022
NYT,"Murder, Blackmail and an Epic Battle to the Death in Australia",others,Culture,others,2022-05-27,BookReview,Books,News,2174,5,2022,4_Various,2021/2022
NYT,‘The Legend of Molly Johnson’ Review: Reclaiming the Australian Frontier,Culture,others,others,2022-08-18,Weekend,Movies,Review,299,8,2022,4_Various,2021/2022
NYT,A Brooklyn Food Crawl That’s Powered by the Australian Crawl,others,others,others,2022-06-28,Dining,Food,News,641,6,2022,4_Various,2021/2022
NYT,A Ruling From Outside the Court: ‘Shame’ on the Justices,others,others,others,2022-07-10,others,Opinion,others,791,7,2022,4_Various,2021/2022
NYT,Word of the Day: verve,None,None,None,2022-05-16,others,The Learning Network,News,350,5,2022,4_Various,2021/2022
NYT,Make the Most of Too Much Summer Squash With the Zucchini Slice,others,others,others,2022-07-15,Dining,Food,News,423,7,2022,4_Various,2021/2022
NYT,How to watch the World Cup draw.,None,None,None,2022-10-22,Sports,Sports,News,82,10,2022,4_Various,2021/2022
NYT,"Tennis Is Done With Covid-19, but the Virus Isn’t Done With Tennis",Tennis,Tennis,Tennis,2022-07-10,Sports,Sports,News,1050,7,2022,4_Various,2021/2022
NYT,‘How to Please a Woman’ Review: The Service Industry,Culture,others,others,2022-07-28,Weekend,Movies,Review,281,7,2022,4_Various,2021/2022
NYT,Think All Viruses Get Milder With Time? Not This Rabbit-Killer.,others,others,Covid,2022-06-20,Science,Science,News,1338,6,2022,4_Various,2021/2022
NYT,"How the draw works: 32 teams, 4 pots, 8 groups.",None,None,None,2022-10-22,Sports,Sports,News,441,10,2022,4_Various,2021/2022
NYT,Judge John Hodgman on Brunch Parameters,others,None,None,2022-07-21,Magazine,Magazine,News,145,7,2022,4_Various,2021/2022
NYT,‘A Perfect Pairing’ Review: Going Down Under for Wine and Romance,Culture,others,others,2022-05-18,Weekend,Movies,Review,299,5,2022,4_Various,2021/2022
NYT,Regulator in Puerto Rico suspends operations of Euro Pacific Bank.,others,others,others,2022-06-30,Business,Business Day,News,730,6,2022,4_Various,2021/2022
NYT,Novak Djokovic vs. Nick Kyrgios Makes for a Villainous Wimbledon Final,Tennis,Tennis,others,2022-07-08,Sports,Sports,News,1467,7,2022,4_Various,2021/2022
